tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
C,32,10.0000,0.0200,0.00500,on,0xE0102000,50,4.0000,4,4,0.040000
C,32,10.0000,0.0200,0.00500,on,0xE0102001,50,5.0000,5,5,0.050000
C,32,10.0000,0.0200,0.00500,on,0xE0102002,50,4.0000,4,4,0.040000
C,32,10.0000,0.0200,0.00500,on,0xE0102003,50,3.0000,3,3,0.030000
C,32,10.0000,0.0200,0.00500,on,0xE0102004,50,3.3600,3,4,0.033600
