tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,15.0000,0.0000,0.00000,off,0xE0102000,50,98.8600,22,1350,0.439378
X,32,15.0000,0.0000,0.00000,off,0xE0102001,50,22.7200,19,27,0.100978
