tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,62.4200,0.0000,0.00000,off,0xE0102000,50,32682.4400,29663,32768,8.388165
X,32,62.4200,0.0000,0.00000,off,0xE0102001,50,32742.6000,31810,32768,8.403605
